time(micros),mv,led,gain,mvfiltered,mvestimated
4206992,34,0,Inf,33,0
4212544,34,0,Inf,33,0
4218104,34,0,Inf,34,0
4223656,34,0,Inf,34,0
4229216,29,0,Inf,33,0
4234768,29,0,Inf,32,0
4240320,29,0,Inf,31.0000000000000,0
4245880,34,0,Inf,31.0000000000000,0
4251432,39,0,Inf,32,0
4256992,34,0,Inf,33,0
4262544,34,0,Inf,34,0
4268104,34,0,Inf,35,0
4273656,29,0,Inf,34,0
4279208,34,0,Inf,33,0
4284768,34,0,Inf,33,0
4290320,34,0,Inf,33,0
4295880,29,0,Inf,32,0
4301432,34,0,Inf,33,0
4306988,34,0,Inf,33,0
4312544,34,0,Inf,33,0
4318096,29,0,Inf,32,0
4323656,29,0,Inf,32,0
4329208,34,0,Inf,32,0
4334768,34,0,Inf,32,0
4340320,29,0,Inf,31.0000000000000,0
4345876,39,0,Inf,33,0
4351432,39,0,Inf,35,0
4356984,34,0,Inf,35,0
4362544,34,0,Inf,35,0
4368096,34,0,Inf,36,0
4373656,39,0,Inf,36,0
4379208,34,0,Inf,35,0
4384760,34,0,Inf,35,0
4390320,39,0,Inf,36,0
4395872,34,0,Inf,36,0
4401432,39,0,Inf,36,0
4406984,29,0,Inf,35,0
4412544,34,0,Inf,35,0
4418096,34,0,Inf,34,0
4423648,34,0,Inf,34,0
4429208,34,0,Inf,33,0
4434760,29,0,Inf,33,0
4440320,29,0,Inf,32,0
4445872,34,0,Inf,32,0
4451432,29,0,Inf,31.0000000000000,0
4456984,29,0,Inf,30.0000000000000,0
4462536,34,0,Inf,31.0000000000000,0
4468096,34,0,Inf,32,0
4473648,34,0,Inf,32,0
4479208,29,0,Inf,32,0
4484760,34,0,Inf,33,0
4490320,34,0,Inf,33,0
4495872,34,0,Inf,33,0
4501424,34,0,Inf,33,0
4506984,34,0,Inf,34,0
4512536,39,0,Inf,35,0
4518096,34,0,Inf,35,0
4523648,34,0,Inf,35,0
4529208,29,0,Inf,34,0
4534760,29,0,Inf,33,0
4540312,34,0,Inf,32,0
4545872,34,0,Inf,32,0
4551424,29,0,Inf,31.0000000000000,0
4556984,34,0,Inf,32,0
4562536,39,0,Inf,34,0
4568092,34,0,Inf,34,0
4573648,34,0,Inf,34,0
4579200,29,0,Inf,34,0
4584760,39,0,Inf,35,0
4590312,39,0,Inf,35,0
4595872,34,0,Inf,35,0
4601424,34,0,Inf,35,0
4606984,29,0,Inf,35,0
4612536,39,0,Inf,35,0
4618088,34,0,Inf,34,0
4623648,34,0,Inf,34,0
4629200,34,0,Inf,34,0
4634760,34,0,Inf,35,0
4640312,34,0,Inf,34,0
4645864,29,0,Inf,33,0
4651424,34,0,Inf,33,0
4656976,39,0,Inf,34,0
4662536,39,0,Inf,35,0
4668088,39,0,Inf,36,0
4673648,34,0,Inf,37,0
4679200,34,0,Inf,37,0
4684752,34,0,Inf,36,0
4690312,39,0,Inf,36,0
4695864,29,0,Inf,34,0
4701424,34,0,Inf,34,0
4706976,29,0,Inf,33,0
4712536,34,0,Inf,33,0
4718088,34,0,Inf,32,0
4723640,29,0,Inf,32,0
4729200,34,0,Inf,32,0
4734752,34,0,Inf,33,0
4740312,39,0,Inf,34,0
4745864,29,0,Inf,33,0
4751424,34,0,Inf,34,0
4756976,39,0,Inf,35,0
4762528,34,0,Inf,35,0
4768088,34,0,Inf,34,0
4773640,34,0,Inf,35,0
4779200,34,0,Inf,35,0
4784752,34,0,Inf,34,0
4790312,29,0,Inf,33,0
4795864,34,0,Inf,33,0
4801416,34,0,Inf,33,0
4806976,34,0,Inf,33,0
